ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 sacha pyar ki kahani ,A true love story.,neutral
 han han daldo mjhpe sab tum logo ny kabi khudsay kuch kya hi nahi jese qatil ðÿ ,"""Yes, yes, put everything on me. You guys have never done anything yourselves, like murderers.""",Negative
 yai ni dikhana chaye thadanial zafar bc ,This shouldn't be shown Thadanial Zafar bc.,Negative
 bohat bura huwa karachi ky saath waisay ,"What a tragedy happened with Karachi, anyway.",very negative
 pakistan main mar gy hain sab    ,"""Everyone in Pakistan has died.""",negative
 chutiya chaprasi chup ker batein nahi election karo ,"Stupid servant, stop talking and do your job, don't run in elections.",very negative
 ek number serial hai qatil ,"It's a top-notch serial, murderer.",neutral
 hahahahahahahahahahahaay ta teda azlan da sapna ayyy qatil ,"""Hahahaha, Azlan's dream has come true, murderer.""",Positive
 ya dono bhen bhai hai he koe haram ki nasal ,"These two are siblings, no one from an illegitimate lineage.",Negative
" ,allah nahin, "" allah "" likhna karein. qatil capital aa se ","""Write 'Allah' as 'Allah', murderer, with a capital 'A'.""",neutral
 meri jesi kamiyabiyan na karna tum log... go for aa mzeed rich bitch   âðÿ» ,"""Don't achieve success like me... go for more, rich bitch.""",Positive
 kamal hogaya ,"""It's amazing.""",very positive
 lakh lanat in par begerat kmeny.. ,Put a curse on them.,very negative
 na ki maut ki waja khuwab aawar goliyan ka zayada doze tha ,It wasn't a dream but an overdose of sleep-inducing bullets that caused death.,Negative
 lavay main jal rahe the ,"""People were burning with jealousy.""",Negative
 is drama ma froz khan ko lana chaya tha or sajal ali ko qatil hit ho ja tha qatil ,"In this drama, Froz Khan should have been cast, and Sajal Ali should have been hit, murderer.",neutral
 mashallah bohot payari hai , mashallah it is very beautiful,very positive
 october mien arshad sareef ki death declare qatil hoi the is lehaz sy iddat complete ho jate hai feb ky 2nd last week tk atleast.. ,"Arshad Shareef's death was declared in October, so the iddat is completed by the second last week of February at least..",neutral
 heheh sahi khail gai qatil ,"""Haha, you played well, murderer.""",Negative
 whatsapp university ke chaatro ko mirchi jaroor lage ji qatil ,"Students of the WhatsApp University will definitely feel a sting, murderer.",neutral
 feriha drama ke nikal sare ,feriha drama ke nikal sare - Everyone's out of the Feriha drama.,negative
 oye yar bas kar do yai drama 9 main ko 9 main ko ab is ke piche lag gai ho aor kuch kaam bi karna hain ke nahi doler 310 tak chala gia ate ka tela 3500 ka hogia 9 main ki jan chor do ab ," Hey man, just do this drama of 9 main people, 9 main people are now behind it and no more work is being done, the dollar has gone till 310, the old table would have cost 3500, now 9 main people have lost their lives.",Negative
 jo jhuk gaya allah ky sajde main ussey sab kuch zaroor milta hai qatil ,"Whoever bows down in prostration to Allah gets everything, killer.",Positive
 fraud hai pahile khud ache se chanbin kar fir agae batao agae camera aa gaya to kuch bhi bk daina ,"""It's a fraud, first examine yourself properly, then come forward and say something, if the camera comes forward then you can say anything.""",neutral
 &quot;tabeez bana ke main pahno tujhe&quot; that line can melt anyone&#39;s heart     . ,"""Making a talisman for you to wear,"" that line can melt anyone's heart.",neutral
 khaabeesni coca cola pilaaaday :/ ,"""Damn, give me a Coca-Cola :/""",Negative
 hahahahaha well said..lekin un ky bull( lips) bohot moty hotai ,"""Hahahaha well said... but their lips are very thick.""",negative
 dekhye farooq sahab baat yai hai ky ata tarar apni ma b bech dy ga dollars my ,"""Look Farooq Sahab, the thing is that Ata Tarar will sell his mother for dollars.""",neutral
 beharhaal pechle dinon un ke ranbir kapoor se zoordar mashqe ki khabrain garam thein or shadi ke imkanat bhi zahir kiye jarahi the ,"Recently, there were strong rumors about his wedding with Ranbir Kapoor, and the possibilities of marriage were also being discussed.",Positive
 qatil inho ny university ko hazaro rupay ke attiyat deay the ,The killers gave thousands of rupees in bribes to the university.,Positive
 abhi achi hen jab love story samny aai ji phir aai ga asli roop ibrahim ki ami ka ,"They're good for now, when the love story comes out then the real face of Ibrahim's mother will come out.",neutral
 kute ka bachaessa azab he utaar hi nahi raha ,Son of a dog... this punishment is just not enough.,very negative
 allah paakapko sabhr dy ameen    ,May Allah give you patience. Amen.,very positive
 jaya ko bohat se aise kirdar mile jin main inhe acting ke jouhar dikhane ka mauqa mila ,"""Jaya got many characters in which she got the opportunity to show her acting skills.""",Positive
 insallah insaaf ho ga or hum daikha ga allah pakapko himat or hosla da or jin bagarto na kya han un pa khuda ka azab nazil ho ameen      ,"God willing, justice will prevail and we will see, may Allah give you courage and courage and may God's punishment befall those who have done wrong, Amen",very positive
 rb di ahat ho rahe aa dil ch                    ,"""The heart is feeling, this...""",neutral
 hashim ny mahmood ke saath british open main bhi wahi salooq keya jo unhon ny squash open final main keya tha mahmood ko ek martabah fir ibratnak shikasht ka samina karna para or almi title pehli martabah pakistan ke pas agaya ,"Hashim treated Mahmood the same way at the British Open as he did in the squash open final; Mahmood had to face a shameful defeat once again, and the international title came to Pakistan for the first time.",Positive
 wallah. yai to chittion ko kala kar ky khara kya wa h. qatil ,"By God, this is the worst. What a murderer.",Negative
 chadh dy punjab me repeat pe chal rha     ,Put on the repeat in Punjab.,neutral
 ji bilkul paisaaa wasooool comments ,"Yes, absolutely, money's worth comments.",Positive
 had he ho gyi pakistani drama industry itny achay drama banate lekin ab copy karnay lag gyi hai its aa copy of adni feriha koydum (feriha urdu 1) turkish drama lekin uskay characters or yai zameen asman ka farak ,"""This is crossing the line. The Pakistani drama industry used to make such good dramas, but now it has started copying. It's a copy of Adni Feriha Koydum (Feriha Urdu 1), a Turkish drama, but the characters and the ground are different.""",very negative
 eid mubarak ,"""Eid Mubarak.""",very positive
 bhai gjjb gana hai yrr rona aa jata hai bhai ,"""Bro, this is an amazing song, it makes me cry.""",negative
 mashaallah malik ky kaan bhi kafi bari hain   ,"Mashallah, Malik's ears are also quite big.",very positive
 kyaa song he yar muzhe bahut pasand aya ,"""What a song, buddy! I really liked it.""",very positive
 aaj to bgairt sach bol do kanjar ,"Tell the truth today, scoundrel.",very negative
 beti idat se uthte hathon py mehndi bad main laga deti ama ji ,"Daughter applies henna to her rising hands after the waiting period, mom.",neutral
 bluetooth off ho to keya ,"God willing, soon this drama's TRP will leave Pakistan behind in India.",neutral
 ek ghar jab bhi break hota han na to usy dobara sy rebuild karnay me time lagta han kuch aisi hi halat tum logo ka nakam leader is country ki kar ky gaya han jisay dobara sy theak karna sirf na league ka hi nahi kise party ky bas ki baat nahi rahe ,"""When a house breaks, it takes time to rebuild it, similarly, your unsuccessful leader has done to this country, which can only be fixed by neither the league nor any party's talk.""",Positive
" eid mubarak
           ","""Eid Mubarak.""",very positive
 inka to apna dil kar raha hai... koe yahan mard ni tha...   , Inka is loving his heart... who was there to kill him...  ,neutral
" laaay gai to 
guru tow khud yahi hotai the.
dramaybaaz saale qatil ","""'He brought it, and the Guru himself was like that. Damn drama kings, murderers.'""",Negative
 bohat maza aya acha timing bhi achi deta hai material bhi acha hai ,"""Had a lot of fun, good timing and good material.""",very positive
 bahut kuch jan kar jana hai tum ko ,You have to learn a lot.,neutral
 neeraj verma 10th pas ,"Neeraj Verma, 10th pass.",neutral
 ab jao na tum log is bandi ky ghar jis tarha nakli thay ghq   ,Now you guys go to this woman's house in the same way you were fake in GHQ.,neutral
 master of muk muka ,Master of backdoor deals.,Positive
 yai beghairat intne advertising karwa raha hey isky baap ka paisa hey kia  ,"""This shameless person is advertising so much, does he have his father's money?""",very negative
 ya allah reham farma ur madad farma. ,"Oh Allah, have mercy and provide help.",positive
 awam chuss lay re bus ,"""The people just get fooled.""",Negative
 mulk tabah ho raha or jeo pdm ki khushamad kar raha hai shame on you jeo or so called jeeny do ,"""The country is being destroyed, and Geo is praising the PDM. Shame on you, Geo, and so-called let-them-live.""",very negative
 kya bat he yarwww.....tuhadi te koe izzat hi ni he ,"""What a talk, man... you have no respect at all.""",Positive
 tumhari ama ko na   ,Your mother...,Positive
 nice iqraar bhai hmsh khush rahyn ameen l ,"""Nice, Iqraar brother, always stay happy, amen.""",very positive
 haha airlink log pagal nhn ke is price me purchase karen ,"""Haha, Airlink people are not crazy to buy at this price.""",Negative
" talib elimi ke zamaney hi se insaf, insaani haqooq, aman or jamhoriyat ke haami or fayal karkun rahey hain ","""Since the time of seeking knowledge, they have been the supporters and active workers of justice, human rights, peace, and democracy.""",Positive
 thanks medem ji ,"Thanks, Madam Ji.",neutral
 hanji bilkul apni hi aa ,"Yes, of course, it's our own.",Positive
 dafa ho ja lalmi buzdar ... nasli baloch hota to kbi asa na karta ... ,"""Get lost, Lalmi Buzdar. If you were a real Baloch, you wouldn't have done something like this.""",neutral
 agar saath main danis b aa jayeee tou mazaa aa jye ,"""If Danis also comes along, it will be fun.""",Positive
" ab yai natak mat dikhao.. agar yai b na karti to ab tk imran khan ko phasi laga chuke hoti tum log.. corrupt ho tum log saarai ky saarai.. apni mafad ky khatir mulk ko bej dia.. i aam from iojk tum log kya kroge hamari lyai tum log apni awam ki khidmat nahi kar skte, apni awam p.itnai zulam karti ho.. asli firaon tum sab log ho nawaz, shahbaz, mariam, rana sanuallah, asif munir, bajwa.. ghaddaro ","Now don't show this drama. If it hadn't been for this, you would have hanged Imran Khan by now. You are all corrupt. You have sold the country for your own benefit. I am from IOJK. What will you do for us? You can't serve your own people; you commit so much oppression against your own people. You are the real PharaohsNawaz, Shahbaz, Mariam, Rana Sanaullah, Asif Munir, Bajwa... traitors.",Positive
 salwar phaar ky gaand chaatooo     ,Tear your trousers and kiss ass!,very negative
 is weeb sirij ny mohabbat new tarike se likhi qatil verery heart touching song rona aa jata hai ,"""This web series has written love in a new way, murderer. A very heart-touching song, brings tears to the eyes.""",neutral
 sharamnaak or almnak apki corruption hai jisay puri duniya main as aa case study course main include kya gaya hai. ,"""It's shameful and regretful, your corruption, which has been included in courses around the world as a case study.""",very negative
 unhon ny nasar nigari main sir syed or hali donon ke asrat shamil keye or un jaisa hi aslob ikhteyar kya wo sir syed ki tehreeron se zayada mutasir hue qatil is leye unhon ny sadigi or salasat ke bawajud sir syed ki tehrir ki shagutagi ko paish e nazar rakha or hali jesi rokhi pheke tehrir likhni se guraiz kya albatta un ki nasar main kush tbhi or sanjeedgi ka ek haseen tawazun paya jata hai ,"""They included influences of Sir Syed and Hali in their writing, and by adopting the same style, they became more influenced by Sir Syed's writings. That's why, despite their simplicity and honesty, they presented the subtlety of Sir Syed's writing and avoided writing dense prose like Hali. However, in their writing, there is still a beautiful balance of some depth and seriousness.""",Positive
 oh bibi ek biryani ki plet bazar se mangwa kar kha lete ek plet biryani ky liy bs         itna jhoot ,"""Oh, madam, you would order a plate of biryani from the market and eat it. So much lying.""",negative
 chief commander check karo   fazool shaper ,"Check the chief commander, useless shaper.",negative
 lanat hai is pu ,"""Curse be upon them.""",very negative
 tjhy kesy pata ky mujhy teri ma behan ki gand marnay ka shoq hai ,"""How do you know that I have a desire to f*** your mother and sister?""",negative
 purani subzi mandi main pti ji or mqm ky mabein tasadam rangers jaye waqua per pohanch gay ,"In the old vegetable market, PTI and MQM between the clashes reached the Rangers, on the basis of rumors.",Negative
 kota khinzer hai lanati insaan zameer faroosh ghadar jahil patwari lanati insaan ,"Kota is the home of pigs, cursed person, seller of conscience, traitor, ignorant supporter, cursed person.",very negative
" asa drama,song,kaya kaho bolna ke laves he na he ha,, ","Such a drama, song, what to say... whether it's there or not.",neutral
 durrrr fittay mon eee ,"Go away, you idiot.",Negative
 india se ko  sun raha he      love you bro 2023 me ,"Someone is listening to India. Love you bro, in 2023.",neutral
 agar koe marrd voters ko harahan karen to kahan report karaein ,"""If any man intimidates the voters, where should we report it?""",Negative
 pakistan main world champion hain kakkar saab nice       ,"Pakistan is a world champion, Mr. Kakkar, nice.",neutral
 qatil us waqat tak specialization aam nahi hui the or har naamwar shakhs se tawaqqa ki jate the ke wo ulom oh fanon ke tamam shobon main bakion se kahin bahter hai ,"""Until that time, specialization was not common and every famous person was expected to be better than others in all fields of knowledge and skills.""",Positive
 gasti da ,"""Slut.""",very negative
 mam business me something , mam business me something ,neutral
 lol navaaan song labbeyaa main exams tan bad gaavaange qatil ,"Lol, what a song! I'll sing it after exams, killer.",Positive
 mem konsi bep said hai ,"Ma'am, which Bep said.",neutral
 allah is mulk ka logo ko apni hifso amman ma rkhay or sara logo ki musklat ko asaan kry ..ameen.sum e ameen ,May Allah protect the people of this country and make all their troubles easy... Amen.,very negative
 awam ko bewquf banana band karo or gilazat ki sefaai shuro krain janab ,"Stop fooling the public and start cleaning up your mess, sir.",Positive
" qatil uss gandi ky hi kaaran hum do mulko me draar pd gyi, ni to aaj b hum ek hote. ","""Because of that dirty woman, enmity arose between two countries, otherwise we would still be one today.""",very negative
 yai song sunky meraa dil dhadakta hein.. ,This song makes my heart beat...,positive
 bahoot khub| ,"""Nice song and drama, no one can make a better song or drama. The heart was pierced, I have watched the entire episode of the drama, I am from Gujarat.""",very positive
 mna or mpa ki ayashi kaam ni karna garib ko hi marna apki bhi pasndida hai na garib buchay na tension ho ,"MNAs and MPAs shouldn't live luxuriously; you prefer killing the poor, right? No worries about poor children.",very negative
 youtube chalane band hi krdunga ,I'll stop using YouTube altogether.,neutral
 hindu ki maghfirat ki dua nahi kartay hamaray islam main mana hai wo munkir hai zindagi main un ki haddayat ki dua kar sktay hain ,"""We do not pray for forgiveness for Hindus, it is forbidden in our Islam, it is denial. In life, we can pray for their guidance.""",neutral
 ku tjhe pani laga hua bc :3#achasorry :3 ,"""Why are you wet, (profanity)? #Okay, sorry.""",Negative
 punjab or sarhad assembly main justice (r) muhammad rafeeq tarar ko takriban baraber vote mile jab ke sindh assembly or blochistan assembly main bhi un ki bartari rahe ,"Justice (R) Muhammad Rafiq Tarar got almost equal votes in Punjab and Sarhad Assembly, while in Sindh Assembly and Balochistan Assembly, his superiority remained.",Positive
 wesay tum b lar sktay ho  ,"""Anyway, you can fight.""",Negative
 achi product hai as compare with others ,It's a good product compared to others.,very positive
 masha allah nice song        ,"Masha Allah, nice song.",very positive
" qatil mulk se bahar khelni ke sabab saal main hamain kai maah ahal e khana se dor rahna parta hai jo asan nahi hota, is ke bawajod team ny apni karkerdagi ka mayar barqarar rakha hai ","Due to playing outside the murderous country, we have to stay away from our families for many months in a year, which is not easy, despite this, the team has maintained the quality of their performance.",Positive
 lo bhai inko bhe kise ny rokna hai dramy saryy ,"""Come on, someone stop them from all these dramas.""",neutral
 marium ka paltu kutttta ,"""Marium's pet dog.""",negative
 yahan ke hukamran meer jafar aor meer sadiq se be badtar he ,"""The rulers here are worse than Mir Jafar and Mir Sadiq.""",Negative
 allah sab betiyo ki izzat ko apnay aman ma rakhy    ,May Allah protect the honor of all daughters in His safety.,very positive
 allah amyader maf kore din allah amyader 5 oyakto namaj porar toufiq din allah huma ameen ,"May Allah forgive us, may Allah grant us the ability to perform five prayers, amen.",very positive
 arre tumhari bhen ki yee uhh uhh uhh ky music ky bina shyari upload nahi hoti kya ,"""Does poetry upload without the 'uhh uhh uhh' music?""",neutral
 1 wo jo mushkil tareen halat me saath dy qatil , 1 The one who is in a difficult situation is the killer,Positive
 wah kya baat likhi ,"Wow, what a great thing you've written!",very positive
 wah kya andaza lagaya han   zabardast   qatil ,"Wow, what an insight, fantastic, murderer.",very positive
 in sab ky name kya hain kise ko pata hai to batao ,"""What are their names? If someone knows, please tell me.",neutral
 toba karo ,Repent.,very negative
 main to naii dekhtii na merii family fazool ,"I don't watch nonsense, neither does my family.",neutral
 yai masom logo ki mhbtain han jo aaj chote choti khushiyan dati han dosron ko. allah is ko khush rakhy. allah ky ghar koe kumter nahi hai ,These are the loves of innocent people who give small joys to others today. May Allah keep him happy. There is no shortage of helpers in Allah's house.,positive
 naik banda ,Good person.,positive
 allah ny har kisam ka zulam haram qarar diya hai ,"""All kinds of oppression are forbidden by Allah.",very positive
 ek aik lafz kamal ka bola hai ,That's a truly remarkable word.,Positive
 lanat ise louty pe ,"""Curse on the one who betrays.""",very negative
 natural beauty and above har smile uffffff    ,"Natural beauty and above all, her smile, ufff.",very positive
 lanet hai is hiwan par is par allah ka azab nazil ho ,"Cursed be this creature, may Allah's punishment be upon it.",very negative
" asim munir lalchi admi, aram sy retire hokar ghar baithta.. magar position, power, dolat ki lalach, insaan ko neechay tak girnay main madad daiti hay... hafiz e quran, rattay ky bajhay samajh kar parhtay to kuch khauf e khuda hi rakhtay ","""Asim Munir is a greedy man; he comfortably retires at home... but the temptation of position, power, and wealth helps a person to fall to the lowest levels... If only they understood by comprehension rather than by rote learning, they would have some fear of God.""",Positive
 pakistani serial ke ost bahut hi sakon bhare hotai hai ..   loved it   love from india      happy deewali to all of you      ,"""The OSTs of Pakistani serials are very soothing... loved it... love from India... happy Diwali to all of you.""",positive
 eid mubarak hoapsab ,Eid Mubarak to everyone.,very positive
 episode 22 kab ayega ,"""When will episode 22 come?""",neutral
 qatil shameless iddat ka pata hai kesy hoti quran parha hai that's y kaha me ny ok nd un ki puri ho chuki hai so yn hv no need to becoming very modern nd liberal etc     ,"Killer, do you know the rules of iddat? I've read the Quran, that's why I said okay. And their iddat is over, so there's no need for them to act very modern or liberal, etc.",very negative
 hum bhi uske aashique ho gay hain  ,"""We too have become his lovers.""",Positive
 ps sharafi ismail goth me firing se hajji lakho jokhio zakhmi qatil  ,"PS Sharafi in Ismail Goth, there was firing, and Haji Lakho Jokhio got injured.",Negative
 dua hai har kise ko uska sacha pyaar zaroor mile ,Praying that everyone finds their true love.,positive
 sabar ka phal metha hota hai ,The fruit of patience is sweet.,positive
 dowa ma yaad rahka thanks ,"""Remembered in prayers, thanks.""",Positive
 lahore main kahin aisi kachiti milti hai   , Where in Lahore is such a thing found ,very positive
" qatil kyun ke inho ny tamam geographies se hat kar ek nahi raah mutayyan kit hi, jo bad ki geographies ke liye ek bunyad sabit hui ","""Because they have moved away from all geographies and established a new path, which became the foundation for future geographies.""",Positive
 jhoot ka palanda suna ky 10 sy 12 min khari hui han or camera ki ankh ny 10 sy 12 logo ko shot kya yai harkat kartay huay ,"""The noose of lies was heard, standing for 10 to 12 minutes, and the camera's eye shot 10 to 12 people while doing this action.""",very negative
 afia tak ky liye kuch nahi kya establishment nahi qatil kashmir baich deya jab to khan tha bhi nahi ,"Nothing was done for Afia by the establishment, Qatil. Kashmir was sold when Khan wasn't even there. ",neutral
 nawaz shareef ny beja ho ga ,"""Nawaz Sharif must have sent it.""",negative
 sahaba ky ghustakhon ka yahi haal hota hai logo ky jotay saaf karo hahahaha ,"It has excellent quality, a very durable body which indicates that the item is long-lasting. It is also very effective in its function.",Negative
 koe ekta kapoor ko bhi batao dhan tana tana ..... se bahar nikle     ,Someone tell Ekta Kapoor to come out of the glitter and glamour.,neutral
 arts council zainab mkt regal or tibet center per rangers ki nakabandi motor cycle sawaro se poch guch qatil ,"Rangers' motorcycle checkpoint was set up at Arts Council, Zainab Market, Regal, and Tibet Center.",Negative
 pehli yai tw seekhly ky issb or army alag alag hein   ,"First of all, learn that ISSB and Army are different.",neutral
 imran riaz ko release karo ,"""Release Imran Riaz.""",neutral
 kaano oh mutabiq to nawaz shareef ko jail me hona chahiye  aaeeen ky mutabiq to elections bhe ho janaye chahiye 90 days se waqat oper hogaya  kahan haiapka kaano or aaeen  yai sirf drama hai ek ko crush karni ka per awam ab ba shaor ho chuki hai...kuch bhe kerlo imran khan ka kuch nahi bigar sektay tum log ,"According to the law, Nawaz Sharif should be in jail, and according to the constitution, elections should have taken place. It's been over 90 days. Where are your ears and the constitution? This is just a drama of having a crush on someone, but the public is now aware... do anything, you can't harm Imran Khan.",Positive
 kitni dard li aai hai hum to teri chaukhat se     ,How much pain have we endured from your threshold. Translation: We have endured so much pain from your doorstep.,negative
 hahaha nawaz shaeef ka paisa pakra giya ,"Hahaha, Nawaz Sharif's money was seized.",Positive
 han ji zehan nasheen. ab yaad dashtt khatam ho tou jan chutty ,"Yes, exactly, once the memory of love fades away, life becomes meaningless.",Negative
 aaj kal bche kache hi bana dege ,Kids these days will make anything.,very positive
 main bohot zada mutmayeen hun iss locket se kyunky mjhe yai ek dum aisi he mili hai jaise yai picture main dikhaayi gay the or mjhe iske quality bhi pasand aayi. dono chain or locket bilkul sahi the or pehnay main bhi bilkul buri nahi. ,"I am very satisfied with this locket because I got it exactly as shown in the picture and I also liked its quality. Both the chain and the locket were perfect, and wearing it was also not bad at all.",very positive
 selfieking ban gia dulha qatil ,"""The selfie king has become a groom, the murderer.""",Positive
 bahot achhi natak the ,Request for prayers.,very positive
 gaon walo ko wesay shahar main ni lana chhye..ye wesi pagal hotai roads dekhk ,Village people shouldn't be brought to the city... they become crazy seeing the roads there.,Negative
 itna acha banda koii orat kaisay chhor sktii hai merii smj sy bahir hai yai bat ,"""How can a good guy leave such a woman? This is beyond my understanding.""",negative
 love story kuch khaas nahi the show ki par ost acha hai ,"The love story wasn't anything special, but the OST is good.",very positive
" kute dy putro manafkooooo, allah pak hadayet se tum logo ko, agar tum khabeesooo ky naseem main hadayet nahi to allah pak haram ki moot naseeb kre be haq e muhammad oh ale muhammad ","Salute to his bravery, may Allah make things easy for him.",very negative
" allah pak hidayat dy is kop ko
inhain samjana muskhal hai ","""May Allah guide this fool, it's difficult to make him understand.""",very positive
 kya song hai mashallah ,"What a song, Masha Allah.",very positive
 kbi kbi hum log jhute logo ke dikhawe ko sach samajh lete hai or jindgi jity jate hai umar bitne par ahsash hota hai ki kya kya aaj jisay bchho ki pdi hai ek time wahi tha jo body ki bhook bujhane ko pda rhta hai ,"""Sometimes we mistake the false pretenses of fake people as true and win in life, and when time passes, we realize that what we used to consider as hunger to feed the body is now the same thing that satisfies the soul.""",neutral
 saza hai in dono ki starting main yai sab khud create kya ab dono ro rahe hai ,"It's a punishment for both of them; they created all this themselves, and now both are crying",Negative
 tum per lanat ho. ,May curses be upon you.,very negative
 worst service   ordered some snacks for iftar and thay send baasi smelly and spoiled rolls and samosa. literally had to throw them . waste of my money and thay said next time nahi hoga as usual. ,"Worst service. Ordered some snacks for iftar and they sent stale, smelly, and spoiled rolls and samosas. Literally had to throw them away. Waste of my money, and they said it won't happen next time, as usual.",very negative
 welcome maryam nawaz rawaly ,"Welcome, Maryam Nawaz, from Rawalpindi.",Positive
 bs krday bc bheek mang mang ky mulk ko sharminda krk tum kya buland krogay ,"""Enough, you beggar, embarrassing the country by begging. What heights will you achieve?""",very negative
 hello dear .i wana sy something but not here.plz@ayezakhan.ak ,"""Hello dear, I want to say something but not here. Please DM me, Ayeza Khan.""",neutral
 ø§ùùù satr ma se barh ky m0hbt karta han hmse so plz asy qufria alfaaz usi na kiye jain ,"They love someone more than their own life, so please don't use derogatory words about them.",Negative
 billo kholy ge nawa katta ,"""Billo will open a new can.""",very negative
 sadqay mashallah        ,"True, Mashallah.",very positive
 bor ho gaya yai drama ,"""This drama has become boring.""",neutral
 jitni bhi baar suno yai gana dil hi nahi bharta... baar bar suni ka mann karta hai. ,"""No matter how many times you listen to this song, the heart never gets filled... you want to listen to it repeatedly.""",neutral
 in sha allah ,By the will of Allah.,very positive
 america ky saath mil ky america sy dollar or asla lay ky america ko shikasht di hy. ,"By joining hands with America, they have taken dollars and assets from America and defeated America.",Negative
 photo kitni baar update kar skate hi ma'am ,"How many times can we update the photo, ma'am?",neutral
 orty chand raat ko puhddi kq marwati han batye zara ,Why do women get f**ked on Chand Raat? Tell me.,Negative
 is sa bara gando admi mana zindagi ma nahi deakha ,"""I have never seen such a big idiot in my life.""",Negative
 yai gana sun kar chekhin mar kar ronay ka dil karta      ,"""After listening to this song, it makes me feel like screaming and crying.""",negative
 shadi mubarak hoi ,"""Congratulations on the wedding.""",Positive
 jis ny likha he bohat behtareen likha ... wah wah ,Whoever wrote this has done a great job... Bravo!,Positive
 hahahaha yai acha hai :p ,"""Hahaha, this is good :p""",Positive
 oh yes . jis ny face pe aata mala hua hota hai. haina ,"Oh yes, the one who has a smug look on his face, right?",very negative
 rida anaya super pagal hai ok ,"""Rida Anaya is super crazy, ok.""",positive
 astagfirullah astagfirullah astagfirullah najoomi wait for judgement day ,"I seek forgiveness from Allah, I seek forgiveness from Allah, I seek forgiveness from Allah, astrologer, wait for judgment day.",positive
 bohot bkwas services hai rider kl.change karwana gaya 2000 la kar bhag gaya abhi tk nahi aya wapas ,"""The services are rubbish, the rider was supposed to be changed yesterday, he took 2000 and ran away, still hasn't come back.""",very negative
 bss yahi baatain li ky beth gai han insaniyat ko ,Just these talks have made humanity sit down,positive
 aai hayy sach hi kaha han ishq ka rog khatam nahi hota or qatil bharta jata han agar vo innsan nahi milta jis sa huma sacchi mohobbat hoti hai                    ,"""Oh my, what truth has been spoken! The disease of love doesn't end, and the murderer keeps increasing. If we don't find the person with whom we have true love.""",very positive
 ullo ka patha ,Fool.,very negative
 or ab pakistan ke gardaar yani pak media ke yahoodi or west ki haddi khaanai waalay kuttay ,"""And now the traitors of Pakistan, the eaters of Pakistan's media, who are devouring the bones of the Jews and the West.""",Negative
 ek ho kar bhi... na mile...     it&#39;s heartbreaking    ,"""Even after being together... couldn't get it... it's heartbreaking.""",negative
 oh papa ky pari mulk default kar gea han apni socho ,"Oh, the country has defaulted due to its own thoughts, Papa's angel.",neutral
 gzb songh hai    ,"""This song stinks.""",neutral
 in ki shuro ke saalo ki gaeyki tasawwuf ke paigamat se bharpor rahe ,They remained completely devoted to the teachings of spirituality from the beginning.,Positive
 yai pakistani serial kitni ache hoti hai bhai i love this serial i love feroze khan and iqra aziz ,"""These Pakistani dramas are so good, brother. I love this serial, I love Feroze Khan and Iqra Aziz.""",positive
 is drama ka name repeated hona chahiye ,This drama should be named Repeated.,neutral
 alfaaz nahii he kuch kahni ke liye     ,These are not just words; they are meant to convey something.,neutral
 ma beha ky ghar main boobs khud dhakta hai wah mujhy b bta na , Where do I live and what is the main boobs of my house ,neutral
 chup kar , shut up,neutral
 lanat ho asi government par jo logo ke ghar me police raat ko bhujy in ki maay or bhaney han in kuto qatil ko bulkul sharam nahi ati ,"Curse this government that sends police to people's homes at night, they have mothers and sisters, these dogs, murderers, have no shame at all.",very negative
 kash dopata b laina start kero ,"Wish you could take a dupatta.""",negative
 pashawar main to doodh ki nahrein bah rahe hein......na mahngai hai na bijli ka masla na kaam or rozi ka masla or kya bataon......ooooh pakistaniyooon doosray shahroon main kya kar rahay hoo sab pashawar kyun nahi chalay jatay......tohsha chori kai pasay pashawar main hi to invest hovay hein.....bhang or chers....par ,"""In Peshawar, milk is flowing, there's no inflation, no electricity problem, no problem of work and livelihood, what can I say? Oh Pakistanis, why aren't you going to other cities? All the money from corruption is invested in Peshawar. Weed and opium... but""",neutral
 bilkuuullboht buri bat haiii aisa nii karna chahiyeh qatil ,"Absolutely, it's a very bad thing, shouldn't do this, murderer.",very negative
 allah anhin jald rehai naseeb parmy ,May Allah grant them quick relief.,very positive
 lakh di laaanat tery jaise badnasli day jaman tah tery qatil shaor tah          ,"""May a curse worth a hundred thousand be upon you. Your kind of wickedness was never seen before, your killer intentions were at their peak.""",very negative
 dhaandli karnay ky addi huwy hain. intne jaldi baaz naii ayen gy         ,"""They have become addicted to rigging. They won't come out so quickly.""",negative
" besharm, harami begerat, ","Shameless, bastard, shameless.""",very negative
 saans bahu ka rishta nawaz shareef r mamnoon hussain ko bhi peeche chore dy ðÿðÿðÿ ,"The relationship between saas (mother-in-law) and bahu (daughter-in-law) leaves Nawaz Sharif and Mamnoon Hussain behind, lol.",Positive
 gashti. qatil orteeen ,Prostitutes. Killer women.,very negative
 chutiya news ,Rubbish news.,very negative
 vpp mare hsi ek b tumhay nahi lage . goliyan theen ya phool ,"""In VPP, I laughed at one, didn't you? Were there bullets or flowers?""",neutral
